filename,width,height,class,xmin,ymin,xmax,ymax
tonga_1.jpg,1000,1000,Palm,206,828,281,907
tonga_1.jpg,1000,1000,Palm,280,647,353,719
tonga_1.jpg,1000,1000,Palm,313,565,381,631
tonga_1.jpg,1000,1000,Palm,414,579,488,651
tonga_1.jpg,1000,1000,Palm,478,917,544,981
tonga_1.jpg,1000,1000,Palm,773,868,854,939
tonga_1.jpg,1000,1000,Palm,650,832,721,898
tonga_1.jpg,1000,1000,Palm,614,706,685,773
tonga_1.jpg,1000,1000,Palm,822,777,900,846
tonga_1.jpg,1000,1000,Palm,900,632,984,716
tonga_1.jpg,1000,1000,Palm,931,486,1000,561
tonga_1.jpg,1000,1000,Palm,955,596,1000,651
tonga_1.jpg,1000,1000,Palm,831,585,898,656
tonga_1.jpg,1000,1000,Palm,348,481,405,544
tonga_1.jpg,1000,1000,Palm,153,438,208,493
tonga_1.jpg,1000,1000,Palm,172,379,238,440
tonga_1.jpg,1000,1000,Palm,212,312,272,374
tonga_1.jpg,1000,1000,Palm,256,362,312,428
tonga_1.jpg,1000,1000,Palm,334,344,398,413
tonga_1.jpg,1000,1000,Palm,423,367,502,443
tonga_1.jpg,1000,1000,Palm,791,366,852,426
tonga_1.jpg,1000,1000,Palm,788,68,845,128
tonga_1.jpg,1000,1000,Palm,707,126,765,185
tonga_1.jpg,1000,1000,Palm,555,181,622,244
tonga_1.jpg,1000,1000,Palm,391,208,465,281
tonga_1.jpg,1000,1000,Palm,330,205,399,283
tonga_1.jpg,1000,1000,Palm,248,223,310,284
tonga_1.jpg,1000,1000,Palm,299,152,360,221
tonga_1.jpg,1000,1000,Palm,235,168,303,231
tonga_1.jpg,1000,1000,Palm,157,148,236,221
tonga_1.jpg,1000,1000,Palm,84,206,154,275
tonga_1.jpg,1000,1000,Palm,16,174,89,249
tonga_1.jpg,1000,1000,Palm,51,132,122,196
tonga_1.jpg,1000,1000,Palm,73,60,147,130
tonga_1.jpg,1000,1000,Palm,131,16,202,92
tonga_1.jpg,1000,1000,Palm,207,4,257,50
tonga_1.jpg,1000,1000,Palm,290,28,347,90
tonga_1.jpg,1000,1000,Palm,355,45,407,101
tonga_1.jpg,1000,1000,Palm,503,43,571,114
tonga_102.jpg,1000,1000,Palm,89,30,173,116
tonga_102.jpg,1000,1000,Palm,148,85,223,174
tonga_102.jpg,1000,1000,Palm,217,1,297,65
tonga_102.jpg,1000,1000,Palm,298,16,364,85
tonga_102.jpg,1000,1000,Palm,348,31,436,121
tonga_102.jpg,1000,1000,Palm,429,60,506,144
tonga_102.jpg,1000,1000,Palm,601,26,684,107
tonga_102.jpg,1000,1000,Palm,726,1,820,74
tonga_102.jpg,1000,1000,Palm,846,1,932,58
tonga_102.jpg,1000,1000,Palm,932,74,1000,156
tonga_102.jpg,1000,1000,Palm,830,58,925,152
tonga_102.jpg,1000,1000,Palm,757,52,835,128
tonga_102.jpg,1000,1000,Palm,729,98,803,171
tonga_102.jpg,1000,1000,Palm,673,114,743,189
tonga_102.jpg,1000,1000,Palm,652,178,730,250
tonga_102.jpg,1000,1000,Palm,818,221,891,299
tonga_102.jpg,1000,1000,Palm,891,280,980,354
tonga_102.jpg,1000,1000,Palm,781,161,868,262
tonga_102.jpg,1000,1000,Palm,848,146,920,222
tonga_102.jpg,1000,1000,Palm,907,233,982,301
tonga_102.jpg,1000,1000,Palm,497,105,573,188
tonga_102.jpg,1000,1000,Palm,536,190,617,279
tonga_102.jpg,1000,1000,Palm,446,157,526,252
tonga_102.jpg,1000,1000,Palm,380,179,462,263
tonga_102.jpg,1000,1000,Palm,265,132,348,211
tonga_102.jpg,1000,1000,Palm,23,186,74,247
tonga_102.jpg,1000,1000,Palm,54,206,140,290
tonga_102.jpg,1000,1000,Palm,28,300,75,351
tonga_102.jpg,1000,1000,Palm,66,338,148,415
tonga_102.jpg,1000,1000,Palm,128,305,185,363
tonga_102.jpg,1000,1000,Palm,149,241,237,336
